customerID,gender,SeniorCitizen,Partner,Dependents,tenure,MonthlyCharges,Contract,Churn
CUST00001,Male,0,No,Yes,28,28.45,Month-to-month,No
CUST00002,Male,1,Yes,Yes,11,69.55,Month-to-month,Yes
CUST00003,Male,1,Yes,No,35,18.66,Two year,No
CUST00004,Female,0,No,Yes,27,52.33,Two year,Yes
CUST00005,Male,0,No,No,5,72.7,One year,No
CUST00006,Female,0,No,No,24,22.67,One year,Yes
CUST00007,Female,0,Yes,Yes,48,82.84,Month-to-month,Yes
CUST00008,Female,0,Yes,No,9,35.46,One year,No
CUST00009,Male,1,No,No,71,51.08,Month-to-month,No
CUST00010,Male,0,Yes,No,51,39.52,Month-to-month,No
CUST00011,Female,0,No,No,58,32.24,Month-to-month,No
CUST00012,Female,1,No,No,28,32.11,Two year,No
CUST00013,Male,0,Yes,Yes,54,57.25,One year,No
CUST00014,Female,0,Yes,Yes,68,96.4,One year,Yes
CUST00015,Female,1,Yes,No,0,107.34,Two year,Yes
CUST00016,Male,0,No,Yes,19,34.48,Month-to-month,No
CUST00017,Male,0,No,Yes,14,107.63,Two year,No
CUST00018,Female,0,Yes,Yes,72,26.74,Two year,No
CUST00019,Male,0,Yes,No,70,71.82,Month-to-month,No
CUST00020,Male,0,No,No,47,70.79,Month-to-month,Yes
CUST00021,Male,0,No,Yes,70,40.46,Month-to-month,Yes
CUST00022,Male,0,Yes,Yes,42,42.28,Month-to-month,No
CUST00023,Male,0,No,Yes,60,37.42,Two year,Yes
CUST00024,Female,0,No,No,59,23.53,Two year,No
CUST00025,Male,0,No,No,13,37.4,Month-to-month,Yes
CUST00026,Female,0,No,No,31,25.69,Two year,No
CUST00027,Male,0,Yes,Yes,30,67.54,Month-to-month,Yes
CUST00028,Female,0,Yes,No,0,45.05,Two year,No
CUST00029,Female,0,No,No,19,40.21,Month-to-month,Yes
CUST00030,Male,0,Yes,Yes,61,104.98,Month-to-month,Yes
CUST00031,Male,0,Yes,Yes,30,114.04,Month-to-month,No
CUST00032,Male,0,No,No,33,91.05,Month-to-month,Yes
CUST00033,Female,0,No,No,40,113.44,Two year,Yes
CUST00034,Male,0,Yes,No,16,107.85,Two year,No
CUST00035,Female,0,Yes,No,69,80.39,One year,No
CUST00036,Male,0,Yes,Yes,33,28.92,Month-to-month,No
CUST00037,Female,0,Yes,No,26,105.0,One year,No
CUST00038,Female,0,Yes,No,35,52.02,Month-to-month,Yes
CUST00039,Female,0,No,No,71,25.67,Month-to-month,No
CUST00040,Male,0,No,Yes,55,49.44,Month-to-month,No
